Name,URL
fschat,https://github.com/lm-sys/FastChat
transformers,https://github.com/huggingface/transformers
custom-guardrails,https://github.com/NVIDIA/NeMo-Guardrails
oplangchain,https://github.com/langchain-ai/langchain
whisper-openai,https://github.com/openai/whisper
gpt-engineer,https://github.com/gpt-engineer-org/gpt-engineer
metagpt-simple,https://github.com/geekan/MetaGPT
langflow-mod,https://github.com/langflow-ai/langflow
stable-diffusion-sdkit,https://github.com/Stability-AI/stablediffusion
openhands-ai,https://github.com/All-Hands-AI/OpenHands
flying-delta-core,https://github.com/run-llama/llama_index
llamafactory,https://github.com/hiyouga/LLaMA-Factory
tts,https://github.com/coqui-ai/TTS
mypyautogen20240904,https://github.com/microsoft/autogen
repl-openbb,https://github.com/OpenBB-finance/OpenBB
hanlp,https://github.com/hankcs/HanLP
chattts,https://github.com/2noise/ChatTTS
vllm-rocm,https://github.com/vllm-project/vllm
reworkd-platform-ollama,https://github.com/reworkd/AgentGPT
spacy,https://github.com/explosion/spaCy
pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning
mediapipe-model-maker,https://github.com/google-ai-edge/mediapipe
openai,https://github.com/openai/openai-python
realsense-copilot,https://github.com/Aider-AI/aider
crewai-clean,https://github.com/crewAIInc/crewAI
magic-pdf,https://github.com/opendatalab/MinerU
jina,https://github.com/jina-ai/serve
graphrag,https://github.com/microsoft/graphrag
dspy-ai-hmoazam,https://github.com/stanfordnlp/dspy
datasets,https://github.com/huggingface/datasets
guidance,https://github.com/guidance-ai/guidance
crawl4ai,https://github.com/unclecode/crawl4ai
haystack-ai,https://github.com/deepset-ai/haystack
peft,https://github.com/huggingface/peft
candle-nn,https://github.com/huggingface/candle
smart-chromadb,https://github.com/chroma-core/chroma
llama-recipes,https://github.com/meta-llama/llama-recipes
tensor2tensor,https://github.com/tensorflow/tensor2tensor
sentence-transformers,https://github.com/UKPLab/sentence-transformers
gpt-researcher-ian,https://github.com/assafelovic/gpt-researcher
openadapt,https://github.com/OpenAdaptAI/OpenAdapt
dalle-mini,https://github.com/borisdayma/dalle-mini
sugaroid-chatterbot,https://github.com/gunthercox/ChatterBot
dbgpt,https://github.com/eosphoros-ai/DB-GPT
knowledge-storm,https://github.com/stanford-oval/storm
composio-openai,https://github.com/ComposioHQ/composio
tortoise-tts,https://github.com/neonbjb/tortoise-tts
pix2tex,https://github.com/lukas-blecher/LaTeX-OCR
faster-whisper,https://github.com/SYSTRAN/faster-whisper
whisperx,https://github.com/m-bain/whisperX
buzz-captions,https://github.com/chidiwilliams/buzz
paddlehub,https://github.com/PaddlePaddle/PaddleHub
v-clip-server,https://github.com/jina-ai/clip-as-service
nemo-toolkit,https://github.com/NVIDIA/NeMo
vanna,https://github.com/vanna-ai/vanna
paddlenlp,https://github.com/PaddlePaddle/PaddleNLP
allennlp,https://github.com/allenai/allennlp
gorilla-execution-engine,https://github.com/ShishirPatil/gorilla
h2ogpt,https://github.com/h2oai/h2ogpt
paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech
dalle2-pytorch,https://github.com/lucidrains/DALLE2-pytorch
trl,https://github.com/huggingface/trl
streamdiffusion,https://github.com/cumulo-autumn/StreamDiffusion
txtai,https://github.com/neuml/txtai
promptflow-tools,https://github.com/microsoft/promptflow
pdf2zh,https://github.com/Byaidu/PDFMathTranslate
fay,https://github.com/xszyou/Fay
