cveid,brief
CVE-2023-38896,"An issue in the Langchain component allows remote code execution through specific functions, impacting the security of LLM applications.   This vulnerability affects the `from_math_prompt` and `from_colored_object_prompt` functions, enabling attackers to execute arbitrary code as noted in the description."
CVE-2023-38860,"An issue in LangChain v.0.0.231 allows arbitrary code execution via the prompt parameter.   This vulnerability is highly relevant to LLMs as it can directly affect the prompt processing component, demonstrating a method for attackers to execute code through manipulated input.  "
CVE-2023-23382,"Azure Machine Learning has a vulnerability related to storing sensitive information in an insecure manner, specifically under CWE-257.   This is relevant because it could lead to unauthorized access to sensitive model data, impacting LLM utilization in Azure."
CVE-2023-34094,"ChuanhuChatGPT is vulnerable to unauthorized access to the configuration file, allowing potential theft of sensitive API keys.   This vulnerability exposes sensitive information (""config.json file"") when authentication is not configured, which could lead to unauthorized data access."
CVE-2023-39660,"An issue in the pandasai library allows a remote attacker to execute arbitrary code via a crafted request to the prompt function.   This vulnerability concerns a LLM-relevant component, specifically the ""prompt function,"" which is crucial for model interactions, indicating potential for exploitation in LLM-based applications."
CVE-2023-34541,"Langchain 0.0.171 is vulnerable to arbitrary code execution in the `load_prompt` component.   This vulnerability is significant as it impacts a specific component used in large language models for generating prompts, potentially leading to unauthorized code execution, as indicated by the description in the CVE record."
CVE-2023-33979,"The vulnerability in gpt_academic's Configuration File Handler allows unauthorized access to sensitive information by reading files through the `/file` route.   This exposure is particularly dangerous since ""no sensitive files are configured to be off-limits,"" leading to potential leakage of confidential information.  "
CVE-2023-36095,"An issue in the LangChain library allows arbitrary code execution via Python exec calls, particularly affecting the PALChain component.   This vulnerability is highly relevant to LLMs as it involves code execution related to prompt processing, which can directly impact the integrity and security of LLM-based applications. "
CVE-2023-37275,"System logs in Auto-GPT can be spoofed using ANSI control sequences, potentially misleading users about operational status.   This vulnerability allows external malicious actors to print misleading messages during the model's output, undermining user trust and system integrity."
CVE-2023-35625,"The vulnerability CVE-2023-35625 involves an information disclosure within the Azure Machine Learning SDK, which could expose sensitive information to unauthorized users.   This vulnerability is significant in LLM contexts due to the sensitive nature of data processed in machine learning applications, as highlighted by ""Exposure of Sensitive Information to an Unauthorized Actor."""
CVE-2023-31036,"The vulnerability affects the NVIDIA Triton Inference Server, which is used for deploying machine learning inference models.   The attack could allow for relative path traversal that leads to code execution and data tampering, highlighting its impact on LLM services."
CVE-2023-2885,"Improper enforcement of message integrity during transmission in CBOT Chatbot allows for an Adversary in the Middle (AiTM) attack.   This vulnerability affects communication integrity, making it relevant to LLMs that rely on secure messaging for data integrity during inference operations."
CVE-2023-29374,"In LangChain through 0.0.131, the LLMMathChain chain is susceptible to prompt injection attacks that can execute arbitrary code via the Python exec method.   This highlights a critical vulnerability in the prompt handling of an LLM-related system that could lead to unauthorized command execution, as indicated by ""allows prompt injection attacks."""
CVE-2023-37274,"Auto-GPT, an application leveraging the GPT-4 language model, is vulnerable to a path traversal attack that allows arbitrary code execution due to improper sanitization of user input.   This is pertinent to LLMs because it feeds malicious code back into the system, undermining the integrity of the model's execution environment."
CVE-2023-2800,"Insecure temporary file vulnerability in the Hugging Face Transformers library versions prior to 4.30.0 exposes the system to potential availability issues.   This vulnerability, labeled CWE-377, can lead to high availability impact due to insecure file management in a widely used LLM component, impacting model operation and integrity."
CVE-2023-25664,"TensorFlow experiences a heap buffer overflow vulnerable in the TAvgPoolGrad component prior to version 2.11.1, which could lead to potential exploitation.   This is relevant as TensorFlow is a foundational library for many LLMs, and the vulnerability could affect any LLM utilizing this version, as it indicates a high severity buffer overflow with a CVSS score of 7.5."
CVE-2023-25661,"The vulnerability in TensorFlow versions prior to 2.11.1 allows a malicious input to crash a model using the `Convolution3DTranspose` function, potentially leading to a denial of service.   This is relevant to LLMs as TensorFlow is commonly used to develop and deploy machine learning models in cloud services, and a denial of service could disrupt these applications.  "
CVE-2023-33976,"TensorFlow experiences a segmentation fault in the `array_ops.upper_bound` function when provided with an incorrect input tensor, specifically when not given a rank 2 tensor.   This vulnerability affects the functionality of TensorFlow, which is critical for machine learning applications. "
CVE-2023-36281,"An issue in LangChain version 0.0.171 allows a remote attacker to execute arbitrary code via a JSON file in the load_prompt mechanism, relating to subclasses or a template.   This vulnerability is significant as it can lead directly to code injection attacks on systems reliant on LangChain, evidenced by the description highlighting ""arbitrary code via a JSON file."""
CVE-2023-28858,"Redis-py versions prior to 4.5.3 have a vulnerability where an async Redis command can leave a connection open, potentially enabling data leakage to unrelated requests.   This affects systems utilizing Redis for async operations, particularly in applications like ChatGPT, where such leakage can compromise user data, as noted in the initial reports about this CVE.  "
CVE-2023-32786,"In Langchain through version 0.0.155, a vulnerability allows for prompt injection, leading to potential Server-Side Request Forgery (SSRF) and content injection.   This affects LLM prompting contexts where arbitrary URL access can compromise data integrity, as highlighted by the description of the vulnerability."
CVE-2023-0405,"The vulnerability CVE-2023-0405 in the GPT AI Power plugin allows logged-in users to modify arbitrary posts without proper authorization checks.   This indicates a lack of nonce or privilege checks essential for content safety within AI-related applications, revealing systemic flaws in user authorization mechanisms.  "
CVE-2023-37273,"The vulnerability CVE-2023-37273 involves code injection in the Auto-GPT application due to improper configuration in the docker-compose.yml file.   This allows potential attackers to execute malicious code that could overwrite critical files and gain control over the host system, demonstrating a significant security flaw in how LLM applications handle their deployment configurations.  "
CVE-2023-30444,"IBM Watson Machine Learning on Cloud Pak for Data versions 4.0 and 4.5 are vulnerable to server-side request forgery (SSRF), which could allow an authenticated attacker to send unauthorized requests.   This vulnerability is relevant because it affects a machine learning platform, potentially allowing attackers to exploit the system to facilitate further attacks or leak sensitive information."
CVE-2023-2580,"The vulnerability CVE-2023-2580 affects the AI Engine plugin for WordPress, specifically versions prior to 1.6.83, allowing for Stored XSS attacks.   This issue stems from insufficient sanitization of user settings, enabling high-privilege users to inject malicious scripts into the chatbot system, as stated in the description: ""does not sanitize and escape some of its settings"".  "
CVE-2023-34239,"Gradio, an open-source Python library for building machine learning interfaces, has a vulnerability related to improper input validation due to unfiltered paths, impacting its file access controls.   This system vulnerability is significant as it allows unauthorized file access and potential manipulation, which could compromise the integrity of user interactions with LLM-based applications relying on Gradio."
CVE-2023-25823,"Gradio, an essential Python library for building machine learning demos, contains a vulnerability that exposes hard-coded credentials for its share links, allowing unauthorized access to user demos.   This is critical because it allows users to potentially access sensitive information through shared Gradio applications, as evident from the description stating, ""a private SSH key is sent to any user that connects.""  "
CVE-2023-25668,"TensorFlow is vulnerable to heap out-of-buffer read in its QuantizeAndDequantize operation, potentially leading to remote code execution on affected versions.   This vulnerability is crucial for LLMs because TensorFlow is widely used for building and deploying large language models, as indicated by ""TensorFlow is an open source platform for machine learning."""
CVE-2023-39662,"An issue in the LlamaIndex package allows remote code execution through the `exec` parameter in the PandasQueryEngine function.   This attack targets an LLM-specific component, which can compromise system integrity as it involves executing arbitrary code remotely.  "
CVE-2023-2887,"Authentication Bypass by Spoofing vulnerability in CBOT Chatbot allows an unauthorized user to bypass authentication, specifically affecting versions before Core: v4.0.3.4 and Panel: v4.0.3.7.   This vulnerability is significant as it can compromise the security of the chatbot system, enabling unauthorized access to sensitive functionalities, indicated by the CVSS score of 9.8."
CVE-2023-3686,"A vulnerability in Bylancer QuickAI OpenAI 3.8.1 allows SQL injection through the GET Parameter Handler of the /blog component.   This poses a critical risk as ""The manipulation of the argument s leads to sql injection,"" indicating potential data breaches or unauthorized access."
CVE-2023-4897,"Relative Path Traversal vulnerability in the mintplex-labs/anything-llm system prior to version 0.0.1 can lead to unauthorized file access.   This vulnerability could allow attackers to exploit the system's file management, as evidenced by the CWE-23 classification of the issue.  "
CVE-2023-4899,"SQL Injection vulnerability in the ""mintplex-labs/anything-llm"" GitHub repository affects versions prior to 0.0.1.   This vulnerability can be exploited to bypass protections and gain unauthorized access to sensitive data, pinpointing the risks associated with LLM frameworks that interface with databases."
CVE-2023-4898,"Authentication Bypass vulnerability in the `mintplex-labs/anything-llm` system allows unauthorized access due to weak authentication measures.   This is critical for LLMs as it potentially exposes sensitive data and model access; ""confidentialityImpact"": ""HIGH"".  "
CVE-2023-49785,"NextChat, a chat interface for ChatGPT, is vulnerable to Server-Side Request Forgery (SSRF) and Cross-Site Scripting (XSS), affecting versions 2.11.2 and prior.   This vulnerability enables high confidentiality and integrity impact, allowing attackers to interact with internal resources and mask their source IP."
CVE-2023-46248,"The vulnerability allows an attacker to control the `.vscode/cody.json` configuration file for the Cody AI coding assistant, leading to possible Remote Code Execution (RCE) on the user's machine.   This is relevant as it affects an AI tool aimed at assisting with coding tasks, enabling attackers to exploit its functionality and execute arbitrary code."
CVE-2023-6730,"Deserialization of untrusted data vulnerability exists in the ""huggingface/transformers"" library prior to version 4.36.   This is crucial for LLMs as it impacts the safety and integrity of model inference and data handling; ""Deserialization of Untrusted Data"".  "
CVE-2023-7018,"Deserialization of untrusted data vulnerability in the huggingface/transformers library prior to version 4.36 allows for potential exploitation.   This is relevant as it affects a widely used LLM component, potentially leading to high impacts on availability, confidentiality, and integrity."
